id,type,name,vintage,adapted_from,adaptation,sequel,related,spinoff,episode_count,genres,themes,nb_votes,weighted_score,bayesian_score,begin_year,end_year
24062,TV,Bocchi the Rock!,2022,24061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
24058,movie,BELLE,7/15/2021,NA,NA,NA,NA,NA,NA,drama/fantasy/romance/science fiction,family/music/social-networking/technology/virtual reality,13,8.1052,7.81221,2021,NA
24052,movie,100 Nichikan Ikita Wani,7/9/2021,24051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA
24050,movie,Tokyo 7th Sisters: Bokura wa Aozora ni Naru,2/26/2021,NA,NA,NA,NA,NA,NA,NA,NA,1,10,NA,2021,NA
24049,TV,Idolland PriPara,2022-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
24048,TV,Reincarnated Into Demon King Evelogia's World,10/1/2021,24047,NA,NA,NA,NA,NA,NA,NA,1,0,NA,2021,NA
24046,TV,World's Finest Assassin,10/6/2021,24045,NA,NA,NA,NA,NA,NA,NA,74,7.2043,7.24483,2021,NA
24044,TV,Futsal Boys!!!!!,1/9/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
24043,TV,Demon Slayer: Kimetsu no Yaiba Entertainment District Arc,12/5/2021,NA,NA,NA,NA,NA,NA,NA,NA,2,7.2515,NA,2021,NA
24042,movie,Toku Touken Ranbu: Hanamaru ~Setsugetsuka~,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
24041,TV,Blue Reflection Ray,4/9/2021,NA,NA,NA,NA,NA,NA,NA,NA,148,7.054,7.08706,2021,NA
24039,TV,Chickip Dancers,10/5/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA
24037,TV,Fucked by My Best Friend,4/4/2021,24036,NA,NA,NA,NA,8,NA,NA,13,5.4393,6.42594,2021,NA
24035,TV,Uch?? Nanchara Kotetsu-kun,4/7/2021,24034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA
24030,TV,Joran: The Princess of Snow and Blood,4/6/2021,NA,NA,NA,NA,NA,NA,NA,NA,53,6.1266,6.37919,2021,NA
24028,movie,Oni no Ko to Yuki Usagi,1995,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,1995,NA
24027,TV,My Senpai Is Annoying,10/9/2021,22785,NA,NA,NA,NA,NA,comedy/romance,NA,62,7.2843,7.31843,2021,NA
24023,movie,Tiger Mask: Kuroi Majin,3/20/1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971,NA
24022,movie,Tiger Mask,3/17/1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,NA
24021,TV,SEVEN KNIGHTS REVOLUTION: Hero Successor,4/4/2021,NA,NA,NA,NA,NA,NA,action/fantasy,NA,28,5.301,5.95914,2021,NA
24019,TV,Zombie Land Saga Revenge,4/8/2021,NA,NA,NA,NA,NA,NA,comedy/drama,idols/life after death/zombies,82,7.9461,7.88849,2021,NA
24018,TV,"Welcome to Demon School, Iruma-kun",4/17/2021,NA,NA,24714,NA,NA,NA,NA,NA,332,7.3487,7.3538,2021,NA
24017,TV,Cestvs: The Roman Fighter,4/14/2021,24016/24127,NA,NA,NA,NA,NA,NA,NA,20,5.7382,6.39692,2021,NA
24015,TV,Tokyo Mew Mew New,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
24013,TV,Duke of Death and His Maid,7/4/2021,24012,NA,24748,NA,NA,NA,NA,NA,206,7.0362,7.06144,2021,NA
24011,TV,Koikimo,4/5/2021,21886,NA,NA,NA,NA,NA,NA,NA,63,6.8355,6.94099,2021,NA
24010,TV,Tsukimichi -Moonlit Fantasy-,7/7/2021,24008,NA,24758,NA,NA,NA,NA,NA,284,7.1443,7.15851,2021,NA
24007,TV,Executioner and Her Way of Life,2022,24005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
24004,TV,Is It Wrong to Try to Pick Up Girls in a Dungeon? IV,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
24003,TV,Tensei Kenja no Isekai Life,2022,24001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
24000,TV,Strongest Sage With the Weakest Crest,1/8/2022,23999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
23998,TV,Genius Prince's Guide to Raising a Nation Out of Debt,1/11/2022,21773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
23997,TV,Goblin Slayer,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA,NA
23996,TV,My Friend's Little Sister Has It In for Me!,NA,23994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23993,TV,Pucchimiku D4DJ Petit Mix,2/5/2021,NA,NA,NA,NA,NA,NA,NA,NA,3,6.2842,NA,2021,NA
23992,movie,Fortune Favors Lady Nikuko,6/11/2021,23990,NA,NA,NA,NA,NA,NA,NA,1,8,NA,2021,NA
23989,TV,Zannen na Ikimono Jiten,2019-07-28 to 2019-08-07,NA,NA,23987,NA,NA,8,NA,NA,NA,NA,NA,2019,2019
23988,TV,Zannen na Ikimono Jiten,2019-03-28 to 2019-03-29,NA,NA,23989,NA,NA,2,NA,NA,NA,NA,NA,2019,2019
23987,TV,Zannen na Ikimono Jiten,1/31/2021,NA,NA,NA,24304,NA,5,NA,NA,NA,NA,NA,2021,NA
23986,TV,Zannen na Ikimono Jiten,2018-08-06 to 2018-08-17,NA,NA,23988,NA,NA,10,NA,NA,NA,NA,NA,2018,2018
23985,TV,Pretty Boy Detective Club,4/10/2021,23109,NA,NA,NA,NA,NA,NA,NA,24,6.912,7.10627,2021,NA
23982,TV,Yuki Yuna is a Hero: Churutto!,4/9/2021,NA,NA,NA,NA,NA,NA,NA,NA,5,4.6022,NA,2021,NA
23981,TV,Dungeon of Black Company,7/9/2021,20231,NA,NA,NA,NA,NA,NA,NA,193,6.4398,6.50156,2021,NA
23980,TV,Fruits Basket the Final,4/5/2021,NA,NA,NA,24495,NA,NA,drama/romance/supernatural,NA,113,8.759,8.63764,2021,NA
23979,movie,Tropical-Rouge! Precure Petit Tobikome! Collabo???Dance Party!,3/20/2021,NA,NA,NA,NA,NA,NA,magic,magical girl/mermaids,2,6.859,NA,2021,NA
23978,movie,Eiga Healin' Good ??? Precure Yume no Machi de Kyun! tto GoGo!,3/20/2021,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,2021,NA
23976,TV,Moriarty the Patriot,4/4/2021,NA,NA,NA,24699,NA,NA,NA,NA,66,6.7762,6.88675,2021,NA
23975,TV,"Fruit of Evolution: Before I Knew It, My Life Had It Made",10/4/2021,23973,NA,NA,NA,NA,NA,NA,NA,45,5.3241,5.78109,2021,NA
23972,movie,Hula Fulla Dance,12/3/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA
23970,TV,Megalobox 2: Nomad,4/4/2021,NA,NA,NA,NA,NA,NA,NA,NA,71,7.9898,7.91823,2021,NA
23966,TV,Shenmue the Animation,2022,NA,NA,NA,NA,NA,NA,NA,martial arts,NA,NA,NA,2022,NA
23965,movie,Dayan to Tama to Tobi Neko to: Mittsu no Neko no Monogatari,5/10/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,NA
23964,TV,Fire in His Fingertips 2 -My Boyfriend is a Fireman-,7/4/2021,NA,NA,NA,NA,NA,NA,NA,NA,6,5.6619,NA,2021,NA
23963,TV,Hell's Paradise: Jigokuraku,NA,23221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23962,TV,Duel Masters King!,4/4/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA
23960,TV,Girls' Frontline,1/7/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
23959,TV,Mother of the Goddess' Dormitory,7/14/2021,23958,NA,NA,NA,NA,10,NA,NA,144,5.983,6.09929,2021,NA
23956,movie,Santa Company: Manatsu no Merry Christmas,1/28/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA
23955,TV,Backflip!!,4/8/2021,NA,NA,24478,NA,NA,NA,NA,NA,27,6.9575,7.12282,2021,NA
23951,TV,Kiyo in Kyoto: From the Maiko House,2/25/2021,23950,NA,NA,NA,NA,NA,slice of life,cooking,66,6.6784,6.804,2021,NA
